id,image,is_nsfw,is_nsfl,is_nsfp,tag1,confidence1,tag2,confidence2,tag3,confidence3,tag4,confidence4,tag5,confidence5
5841286,2023/09/06/408d0127afd6c4df.jpg,true,false,false,Anime,0.206543,Anthro,0.206543,Bijuu,0.206543,by Medaya,0.206543,die Neunschwänzige,0.206543
5841279,2023/09/06/2ba6c40717faa206.jpg,false,true,true,ach das is OC,0.206543,angeln,0.206543,Original Content,0.206543,Schweden,0.206543,,
5841278,2023/09/06/56b78bffc8047ece.jpg,false,false,false,Soldier Boy,0.342372,daniel,0.206543,Dean,0.206543,Negan,0.206543,supernatural,0.206543
5841277,2023/09/06/32d9ec1d0088d069.jpg,true,false,false,BDSM,0.206543,Boobs,0.206543,Chastity,0.206543,Femdom,0.206543,Keyholder,0.206543
5841276,2023/09/06/f282c0891004eb45.jpg,false,false,false,China,0.206543,text,0.206543,USA,0.206543,Vietnam,0.206543,Kalter Krieg II,0.0945287
5841275,2023/09/06/6650c3bbe42f59c2.png,false,false,true,Nicht jeder OC ist interessant,0.342372,Foto OC,0.206543,Museum,0.206543,Treppe,0.0945287,,
5841271,2023/09/06/eea942f93d2aa62a.jpg,false,false,false,arbeitnehmermeme,0.342372,Arbeitnehmer,0.206543,basiert,0.206543,danke GEZ,0.206543,drecksbude,0.206543
5841270,2023/09/06/d946f95605abbee0.jpg,false,false,true,1979,0.206543,Arte ist informiert,0.206543,Galerie Nächst St. Stephan,0.206543,Installation,0.206543,Ist das Kunst oder kann das weg?,0.206543
5841264,2023/09/06/37d0a31c23ef37fe.jpg,false,false,false,1>3>2,0.753608,kleine Quadrate zum aufgabeln,0.438494,Alles>3,0.207655,alle drei,0.206543,Toast,0.206543
5841263,2023/09/06/b7d570854c927868.jpg,true,false,false,gebundene Ausgabe,0.342372,artgerechte Haltung,0.206543,Barnecue,0.206543,bdsm,0.206543,bondage,0.206543
